state,relay_block_from_035,free_block_from_032,anchor_from_relay_union_free,anchor_node_residues_034,lift_mask_from_034,state_pipeline_pass
O0,"[4, 5, 7]","[8, 9, 12]","[4, 5, 7, 8, 9, 12]","[4, 5, 7, 8, 9, 12]","[1, 1, 0, 0, 0, 0, 1, 1]",1
O1,"[2, 4, 9]","[0, 13, 14]","[0, 2, 4, 9, 13, 14]","[0, 2, 4, 9, 13, 14]","[1, 1, 0, 0, 0, 0, 1, 1]",1
B0,"[4, 8]","[0, 2, 3]","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]","[0, 0, 0, 1, 0, 1, 0, 0]",1
B1,"[8, 10, 13]","[2, 3, 7]","[2, 3, 7, 8, 10, 13]","[2, 3, 7, 8, 10, 13]","[0, 0, 0, 1, 0, 1, 0, 0]",1
