candidate_index,matches_observed,residue_set,sum_residues,sum_mod15,gap_signature,relay_block_signature,free_block_signature,c_overlap_signature,no_c_overlap,nearest_c_distance_signature,sum_nearest_c_distance,internal_support_weight,boundary_support_weight,c_cut_weight,free_to_c_weight,relay_to_free_weight
53,0,"[0, 1, 2, 4, 8, 11]",26,11,"1,1,2,3,4,4",4,"0,1,2,8,11","2,11",0,"0,0,1,1,2,3",7,22,52,23,21,6
54,0,"[0, 1, 2, 4, 8, 12]",27,12,"1,1,2,3,4,4",4,"0,1,2,8,12",2,0,"0,1,1,1,2,3",8,20,56,21,19,7
55,0,"[0, 1, 2, 4, 8, 13]",28,13,"1,1,2,2,4,5",4,"0,1,2,8,13",2,0,"0,1,1,1,2,3",8,19,58,26,24,6
56,0,"[0, 1, 2, 4, 8, 14]",29,14,"1,1,1,2,4,6",4,"0,1,2,8,14","2,14",0,"0,0,1,1,2,3",7,21,54,23,21,6
57,0,"[0, 1, 2, 4, 9, 10]",26,11,"1,1,1,2,5,5",4,"0,1,2,9,10",2,0,"0,1,1,1,2,2",7,20,54,16,14,5
58,0,"[0, 1, 2, 4, 9, 11]",27,12,"1,1,2,2,4,5",4,"0,1,2,9,11","2,11",0,"0,0,1,1,2,2",6,15,64,17,15,4
59,0,"[0, 1, 2, 4, 9, 12]",28,13,"1,1,2,3,3,5",4,"0,1,2,9,12",2,0,"0,1,1,1,2,2",7,15,64,15,13,5
60,0,"[0, 1, 2, 4, 9, 13]",29,14,"1,1,2,2,4,5",4,"0,1,2,9,13",2,0,"0,1,1,1,2,2",7,16,62,20,18,4
61,0,"[0, 1, 2, 4, 9, 14]",30,0,"1,1,1,2,5,5",4,"0,1,2,9,14","2,14",0,"0,0,1,1,2,2",6,15,64,17,15,4
62,0,"[0, 1, 2, 4, 10, 11]",28,13,"1,1,1,2,4,6",4,"0,1,2,10,11","2,11",0,"0,0,1,1,1,2",5,19,58,16,14,6
63,0,"[0, 1, 2, 4, 10, 12]",29,14,"1,1,2,2,3,6",4,"0,1,2,10,12",2,0,"0,1,1,1,1,2",6,17,62,14,12,7
64,0,"[0, 1, 2, 4, 10, 13]",30,0,"1,1,2,2,3,6",4,"0,1,2,10,13",2,0,"0,1,1,1,1,2",6,19,58,19,17,6
65,0,"[0, 1, 2, 4, 10, 14]",31,1,"1,1,1,2,4,6",4,"0,1,2,10,14","2,14",0,"0,0,1,1,1,2",5,19,58,16,14,6
66,0,"[0, 1, 2, 4, 11, 12]",30,0,"1,1,1,2,3,7",4,"0,1,2,11,12","2,11",0,"0,0,1,1,1,2",5,16,64,15,13,6
67,0,"[0, 1, 2, 4, 11, 13]",31,1,"1,1,2,2,2,7",4,"0,1,2,11,13","2,11",0,"0,0,1,1,1,2",5,18,60,20,18,5
68,0,"[0, 1, 2, 4, 11, 14]",32,2,"1,1,1,2,3,7",4,"0,1,2,11,14","2,11,14",0,"0,0,0,1,1,2",4,18,60,17,15,5
69,0,"[0, 1, 2, 4, 12, 13]",32,2,"1,1,1,2,2,8",4,"0,1,2,12,13",2,0,"0,1,1,1,1,2",6,18,60,18,16,6
70,0,"[0, 1, 2, 4, 12, 14]",33,3,"1,1,1,2,2,8",4,"0,1,2,12,14","2,14",0,"0,0,1,1,1,2",5,16,64,15,13,6
71,0,"[0, 1, 2, 4, 13, 14]",34,4,"1,1,1,1,2,9",4,"0,1,2,13,14","2,14",0,"0,0,1,1,1,2",5,20,56,20,18,5
72,0,"[0, 1, 2, 5, 6, 7]",21,6,"1,1,1,1,3,8","5,7","0,1,2,6",2,0,"0,1,1,3,4,4",13,12,66,23,13,4
73,0,"[0, 1, 2, 5, 6, 8]",22,7,"1,1,1,2,3,7",5,"0,1,2,6,8",2,0,"0,1,1,3,3,4",12,15,60,27,21,3
74,0,"[0, 1, 2, 5, 6, 9]",23,8,"1,1,1,3,3,6",5,"0,1,2,6,9",2,0,"0,1,1,2,3,4",11,14,60,21,15,2
75,0,"[0, 1, 2, 5, 6, 10]",24,9,"1,1,1,3,4,5",5,"0,1,2,6,10",2,0,"0,1,1,1,3,4",10,17,56,20,14,2
76,0,"[0, 1, 2, 5, 6, 11]",25,10,"1,1,1,3,4,5",5,"0,1,2,6,11","2,11",0,"0,0,1,1,3,4",9,17,56,21,15,5
77,0,"[0, 1, 2, 5, 6, 12]",26,11,"1,1,1,3,3,6",5,"0,1,2,6,12",2,0,"0,1,1,1,3,4",10,13,64,19,13,2
78,0,"[0, 1, 2, 5, 6, 13]",27,12,"1,1,1,2,3,7",5,"0,1,2,6,13",2,0,"0,1,1,1,3,4",10,16,58,24,18,2
79,0,"[0, 1, 2, 5, 6, 14]",28,13,"1,1,1,1,3,8",5,"0,1,2,6,14","2,14",0,"0,0,1,1,3,4",9,17,56,21,15,5
80,0,"[0, 1, 2, 5, 7, 8]",23,8,"1,1,1,2,3,7","5,7","0,1,2,8",2,0,"0,1,1,3,3,4",12,14,64,29,19,5
81,0,"[0, 1, 2, 5, 7, 9]",24,9,"1,1,2,2,3,6","5,7","0,1,2,9",2,0,"0,1,1,2,3,4",11,11,68,23,13,4
82,0,"[0, 1, 2, 5, 7, 10]",25,10,"1,1,2,3,3,5","5,7","0,1,2,10",2,0,"0,1,1,1,3,4",10,14,64,22,12,5
83,0,"[0, 1, 2, 5, 7, 11]",26,11,"1,1,2,3,4,4","5,7","0,1,2,11","2,11",0,"0,0,1,1,3,4",9,18,56,23,13,9
84,0,"[0, 1, 2, 5, 7, 12]",27,12,"1,1,2,3,3,5","5,7","0,1,2,12",2,0,"0,1,1,1,3,4",10,10,72,21,11,4
85,0,"[0, 1, 2, 5, 7, 13]",28,13,"1,1,2,2,3,6","5,7","0,1,2,13",2,0,"0,1,1,1,3,4",10,16,60,26,16,7
86,0,"[0, 1, 2, 5, 7, 14]",29,14,"1,1,1,2,3,7","5,7","0,1,2,14","2,14",0,"0,0,1,1,3,4",9,18,56,23,13,9
87,0,"[0, 1, 2, 5, 8, 9]",25,10,"1,1,1,3,3,6",5,"0,1,2,8,9",2,0,"0,1,1,2,3,3",10,14,62,27,21,3
88,0,"[0, 1, 2, 5, 8, 10]",26,11,"1,1,2,3,3,5",5,"0,1,2,8,10",2,0,"0,1,1,1,3,3",9,16,60,26,20,3
89,0,"[0, 1, 2, 5, 8, 11]",27,12,"1,1,3,3,3,4",5,"0,1,2,8,11","2,11",0,"0,0,1,1,3,3",8,22,48,27,21,6
90,0,"[0, 1, 2, 5, 8, 12]",28,13,"1,1,3,3,3,4",5,"0,1,2,8,12",2,0,"0,1,1,1,3,3",9,16,60,25,19,3
91,0,"[0, 1, 2, 5, 8, 13]",29,14,"1,1,2,3,3,5",5,"0,1,2,8,13",2,0,"0,1,1,1,3,3",9,16,60,30,24,3
92,0,"[0, 1, 2, 5, 8, 14]",30,0,"1,1,1,3,3,6",5,"0,1,2,8,14","2,14",0,"0,0,1,1,3,3",8,21,50,27,21,6
93,0,"[0, 1, 2, 5, 9, 10]",27,12,"1,1,1,3,4,5",5,"0,1,2,9,10",2,0,"0,1,1,1,2,3",8,17,56,20,14,2
94,0,"[0, 1, 2, 5, 9, 11]",28,13,"1,1,2,3,4,4",5,"0,1,2,9,11","2,11",0,"0,0,1,1,2,3",7,16,58,21,15,5
95,0,"[0, 1, 2, 5, 9, 12]",29,14,"1,1,3,3,3,4",5,"0,1,2,9,12",2,0,"0,1,1,1,2,3",8,12,66,19,13,2
96,0,"[0, 1, 2, 5, 9, 13]",30,0,"1,1,2,3,4,4",5,"0,1,2,9,13",2,0,"0,1,1,1,2,3",8,14,62,24,18,2
97,0,"[0, 1, 2, 5, 9, 14]",31,1,"1,1,1,3,4,5",5,"0,1,2,9,14","2,14",0,"0,0,1,1,2,3",7,16,58,21,15,5
98,0,"[0, 1, 2, 5, 10, 11]",29,14,"1,1,1,3,4,5",5,"0,1,2,10,11","2,11",0,"0,0,1,1,1,3",6,18,56,20,14,5
99,0,"[0, 1, 2, 5, 10, 12]",30,0,"1,1,2,3,3,5",5,"0,1,2,10,12",2,0,"0,1,1,1,1,3",7,12,68,18,12,2
100,0,"[0, 1, 2, 5, 10, 13]",31,1,"1,1,2,3,3,5",5,"0,1,2,10,13",2,0,"0,1,1,1,1,3",7,15,62,23,17,2
101,0,"[0, 1, 2, 5, 10, 14]",32,2,"1,1,1,3,4,5",5,"0,1,2,10,14","2,14",0,"0,0,1,1,1,3",6,18,56,20,14,5
102,0,"[0, 1, 2, 5, 11, 12]",31,1,"1,1,1,3,3,6",5,"0,1,2,11,12","2,11",0,"0,0,1,1,1,3",6,15,62,19,13,5
103,0,"[0, 1, 2, 5, 11, 13]",32,2,"1,1,2,2,3,6",5,"0,1,2,11,13","2,11",0,"0,0,1,1,1,3",6,18,56,24,18,5
104,0,"[0, 1, 2, 5, 11, 14]",33,3,"1,1,1,3,3,6",5,"0,1,2,11,14","2,11,14",0,"0,0,0,1,1,3",5,21,50,21,15,8
105,0,"[0, 1, 2, 5, 12, 13]",33,3,"1,1,1,2,3,7",5,"0,1,2,12,13",2,0,"0,1,1,1,1,3",7,14,64,22,16,2
106,0,"[0, 1, 2, 5, 12, 14]",34,4,"1,1,1,2,3,7",5,"0,1,2,12,14","2,14",0,"0,0,1,1,1,3",6,15,62,19,13,5
107,0,"[0, 1, 2, 5, 13, 14]",35,5,"1,1,1,1,3,8",5,"0,1,2,13,14","2,14",0,"0,0,1,1,1,3",6,20,52,24,18,5
108,0,"[0, 1, 2, 6, 7, 8]",24,9,"1,1,1,1,4,7",7,"0,1,2,6,8",2,0,"0,1,1,3,4,4",13,14,66,25,21,2
109,0,"[0, 1, 2, 6, 7, 9]",25,10,"1,1,1,2,4,6",7,"0,1,2,6,9",2,0,"0,1,1,2,4,4",12,14,64,19,15,2
110,0,"[0, 1, 2, 6, 7, 10]",26,11,"1,1,1,3,4,5",7,"0,1,2,6,10",2,0,"0,1,1,1,4,4",11,18,58,18,14,3
111,0,"[0, 1, 2, 6, 7, 11]",27,12,"1,1,1,4,4,4",7,"0,1,2,6,11","2,11",0,"0,0,1,1,4,4",10,16,62,19,15,4
112,0,"[0, 1, 2, 6, 7, 12]",28,13,"1,1,1,3,4,5",7,"0,1,2,6,12",2,0,"0,1,1,1,4,4",11,13,68,17,13,2
113,0,"[0, 1, 2, 6, 7, 13]",29,14,"1,1,1,2,4,6",7,"0,1,2,6,13",2,0,"0,1,1,1,4,4",11,19,56,22,18,5
114,0,"[0, 1, 2, 6, 7, 14]",30,0,"1,1,1,1,4,7",7,"0,1,2,6,14","2,14",0,"0,0,1,1,4,4",10,16,62,19,15,4
115,0,"[0, 1, 2, 7, 8, 9]",27,12,"1,1,1,1,5,6",7,"0,1,2,8,9",2,0,"0,1,1,2,3,4",11,13,68,25,21,2
116,0,"[0, 1, 2, 7, 8, 10]",28,13,"1,1,1,2,5,5",7,"0,1,2,8,10",2,0,"0,1,1,1,3,4",10,16,64,24,20,3
117,0,"[0, 1, 2, 7, 8, 11]",29,14,"1,1,1,3,4,5",7,"0,1,2,8,11","2,11",0,"0,0,1,1,3,4",9,20,56,25,21,4
118,0,"[0, 1, 2, 7, 8, 12]",30,0,"1,1,1,3,4,5",7,"0,1,2,8,12",2,0,"0,1,1,1,3,4",10,15,66,23,19,2
119,0,"[0, 1, 2, 7, 8, 13]",31,1,"1,1,1,2,5,5",7,"0,1,2,8,13",2,0,"0,1,1,1,3,4",10,18,60,28,24,5
120,0,"[0, 1, 2, 7, 8, 14]",32,2,"1,1,1,1,5,6",7,"0,1,2,8,14","2,14",0,"0,0,1,1,3,4",9,19,58,25,21,4
121,0,"[0, 1, 2, 7, 9, 10]",29,14,"1,1,1,2,5,5",7,"0,1,2,9,10",2,0,"0,1,1,1,2,4",9,18,58,18,14,3
122,0,"[0, 1, 2, 7, 9, 11]",30,0,"1,1,2,2,4,5",7,"0,1,2,9,11","2,11",0,"0,0,1,1,2,4",8,15,64,19,15,4
123,0,"[0, 1, 2, 7, 9, 12]",31,1,"1,1,2,3,3,5",7,"0,1,2,9,12",2,0,"0,1,1,1,2,4",9,12,70,17,13,2
124,0,"[0, 1, 2, 7, 9, 13]",32,2,"1,1,2,2,4,5",7,"0,1,2,9,13",2,0,"0,1,1,1,2,4",9,17,60,22,18,5
125,0,"[0, 1, 2, 7, 9, 14]",33,3,"1,1,1,2,5,5",7,"0,1,2,9,14","2,14",0,"0,0,1,1,2,4",8,15,64,19,15,4
126,0,"[0, 1, 2, 7, 10, 11]",31,1,"1,1,1,3,4,5",7,"0,1,2,10,11","2,11",0,"0,0,1,1,1,4",7,18,60,18,14,5
127,0,"[0, 1, 2, 7, 10, 12]",32,2,"1,1,2,3,3,5",7,"0,1,2,10,12",2,0,"0,1,1,1,1,4",8,13,70,16,12,3
128,0,"[0, 1, 2, 7, 10, 13]",33,3,"1,1,2,3,3,5",7,"0,1,2,10,13",2,0,"0,1,1,1,1,4",8,19,58,21,17,6
129,0,"[0, 1, 2, 7, 10, 14]",34,4,"1,1,1,3,4,5",7,"0,1,2,10,14","2,14",0,"0,0,1,1,1,4",7,18,60,18,14,5
130,0,"[0, 1, 2, 7, 11, 12]",33,3,"1,1,1,3,4,5",7,"0,1,2,11,12","2,11",0,"0,0,1,1,1,4",7,14,68,17,13,4
131,0,"[0, 1, 2, 7, 11, 13]",34,4,"1,1,2,2,4,5",7,"0,1,2,11,13","2,11",0,"0,0,1,1,1,4",7,20,56,22,18,7
132,0,"[0, 1, 2, 7, 11, 14]",35,5,"1,1,1,3,4,5",7,"0,1,2,11,14","2,11,14",0,"0,0,0,1,1,4",6,19,58,19,15,6
133,0,"[0, 1, 2, 7, 12, 13]",35,5,"1,1,1,2,5,5",7,"0,1,2,12,13",2,0,"0,1,1,1,1,4",8,17,62,20,16,5
134,0,"[0, 1, 2, 7, 12, 14]",36,6,"1,1,1,2,5,5",7,"0,1,2,12,14","2,14",0,"0,0,1,1,1,4",7,14,68,17,13,4
135,0,"[0, 1, 2, 7, 13, 14]",37,7,"1,1,1,1,5,6",7,"0,1,2,13,14","2,14",0,"0,0,1,1,1,4",7,22,52,22,18,7
136,0,"[0, 1, 3, 4, 5, 6]",19,4,"1,1,1,1,2,9","4,5","0,1,3,6",,1,"1,1,1,2,3,4",12,14,62,20,12,7
137,0,"[0, 1, 3, 4, 5, 7]",20,5,"1,1,1,2,2,8","4,5,7","0,1,3",,1,"1,1,1,2,3,4",12,19,54,22,10,12
138,0,"[0, 1, 3, 4, 5, 8]",21,6,"1,1,1,2,3,7","4,5","0,1,3,8",,1,"1,1,1,2,3,3",11,16,60,26,18,10
139,0,"[0, 1, 3, 4, 5, 9]",22,7,"1,1,1,2,4,6","4,5","0,1,3,9",,1,"1,1,1,2,2,3",10,14,62,20,12,7
140,0,"[0, 1, 3, 4, 5, 10]",23,8,"1,1,1,2,5,5","4,5","0,1,3,10",,1,"1,1,1,1,2,3",9,18,56,19,11,9
141,0,"[0, 1, 3, 4, 5, 11]",24,9,"1,1,1,2,4,6","4,5","0,1,3,11",11,0,"0,1,1,1,2,3",8,20,52,20,12,11
142,0,"[0, 1, 3, 4, 5, 12]",25,10,"1,1,1,2,3,7","4,5","0,1,3,12",,1,"1,1,1,1,2,3",9,18,56,18,10,9
143,0,"[0, 1, 3, 4, 5, 13]",26,11,"1,1,1,2,2,8","4,5","0,1,3,13",,1,"1,1,1,1,2,3",9,14,64,23,15,8
144,0,"[0, 1, 3, 4, 5, 14]",27,12,"1,1,1,1,2,9","4,5","0,1,3,14",14,0,"0,1,1,1,2,3",8,19,54,20,12,11
145,0,"[0, 1, 3, 4, 6, 7]",21,6,"1,1,1,2,2,8","4,7","0,1,3,6",,1,"1,1,1,2,4,4",13,17,60,18,12,9
146,0,"[0, 1, 3, 4, 6, 8]",22,7,"1,1,2,2,2,7",4,"0,1,3,6,8",,1,"1,1,1,2,3,4",12,14,66,22,20,6
147,0,"[0, 1, 3, 4, 6, 9]",23,8,"1,1,2,2,3,6",4,"0,1,3,6,9",,1,"1,1,1,2,2,4",11,15,62,16,14,4
148,0,"[0, 1, 3, 4, 6, 10]",24,9,"1,1,2,2,4,5",4,"0,1,3,6,10",,1,"1,1,1,1,2,4",10,20,54,15,13,6
149,0,"[0, 1, 3, 4, 6, 11]",25,10,"1,1,2,2,4,5",4,"0,1,3,6,11",11,0,"0,1,1,1,2,4",9,16,62,16,14,5
150,0,"[0, 1, 3, 4, 6, 12]",26,11,"1,1,2,2,3,6",4,"0,1,3,6,12",,1,"1,1,1,1,2,4",10,19,56,14,12,6
151,0,"[0, 1, 3, 4, 6, 13]",27,12,"1,1,2,2,2,7",4,"0,1,3,6,13",,1,"1,1,1,1,2,4",10,15,64,19,17,5
152,0,"[0, 1, 3, 4, 6, 14]",28,13,"1,1,1,2,2,8",4,"0,1,3,6,14",14,0,"0,1,1,1,2,4",9,15,64,16,14,5
