candidate_index,matches_observed,residue_set,sum_residues,sum_mod15,gap_signature,relay_block_signature,free_block_signature,c_overlap_signature,no_c_overlap,nearest_c_distance_signature,sum_nearest_c_distance,internal_support_weight,boundary_support_weight,c_cut_weight,free_to_c_weight,relay_to_free_weight
925,0,"[0, 3, 4, 6, 9, 12]",34,4,"1,2,3,3,3,3",4,"0,3,6,9,12",,1,"1,1,1,2,2,4",11,21,50,14,12,6
926,0,"[0, 3, 4, 6, 9, 13]",35,5,"1,2,2,3,3,4",4,"0,3,6,9,13",,1,"1,1,1,2,2,4",11,16,60,19,17,5
927,0,"[0, 3, 4, 6, 9, 14]",36,6,"1,1,2,3,3,5",4,"0,3,6,9,14",14,0,"0,1,1,2,2,4",10,16,60,16,14,5
928,0,"[0, 3, 4, 6, 10, 11]",34,4,"1,1,2,3,4,4",4,"0,3,6,10,11",11,0,"0,1,1,1,2,4",9,20,54,15,13,7
929,0,"[0, 3, 4, 6, 10, 12]",35,5,"1,2,2,3,3,4",4,"0,3,6,10,12",,1,"1,1,1,1,2,4",10,22,50,13,11,8
930,0,"[0, 3, 4, 6, 10, 13]",36,6,"1,2,2,3,3,4",4,"0,3,6,10,13",,1,"1,1,1,1,2,4",10,18,58,18,16,7
931,0,"[0, 3, 4, 6, 10, 14]",37,7,"1,1,2,3,4,4",4,"0,3,6,10,14",14,0,"0,1,1,1,2,4",9,19,56,15,13,7
932,0,"[0, 3, 4, 6, 11, 12]",36,6,"1,1,2,3,3,5",4,"0,3,6,11,12",11,0,"0,1,1,1,2,4",9,19,56,14,12,7
933,0,"[0, 3, 4, 6, 11, 13]",37,7,"1,2,2,2,3,5",4,"0,3,6,11,13",11,0,"0,1,1,1,2,4",9,15,64,19,17,6
934,0,"[0, 3, 4, 6, 11, 14]",38,8,"1,1,2,3,3,5",4,"0,3,6,11,14","11,14",0,"0,0,1,1,2,4",8,16,62,16,14,6
935,0,"[0, 3, 4, 6, 12, 13]",38,8,"1,1,2,2,3,6",4,"0,3,6,12,13",,1,"1,1,1,1,2,4",10,19,56,17,15,7
936,0,"[0, 3, 4, 6, 12, 14]",39,9,"1,1,2,2,3,6",4,"0,3,6,12,14",14,0,"0,1,1,1,2,4",9,18,58,14,12,7
937,0,"[0, 3, 4, 6, 13, 14]",40,10,"1,1,1,2,3,7",4,"0,3,6,13,14",14,0,"0,1,1,1,2,4",9,16,62,19,17,6
938,0,"[0, 3, 4, 7, 8, 9]",31,1,"1,1,1,3,3,6","4,7","0,3,8,9",,1,"1,1,2,2,3,4",13,15,64,24,18,9
939,0,"[0, 3, 4, 7, 8, 10]",32,2,"1,1,2,3,3,5","4,7","0,3,8,10",,1,"1,1,1,2,3,4",12,18,60,23,17,12
940,0,"[0, 3, 4, 7, 8, 11]",33,3,"1,1,3,3,3,4","4,7","0,3,8,11",11,0,"0,1,1,2,3,4",11,22,52,24,18,12
941,0,"[0, 3, 4, 7, 8, 12]",34,4,"1,1,3,3,3,4","4,7","0,3,8,12",,1,"1,1,1,2,3,4",12,20,56,22,16,11
942,0,"[0, 3, 4, 7, 8, 13]",35,5,"1,1,2,3,3,5","4,7","0,3,8,13",,1,"1,1,1,2,3,4",12,16,64,27,21,13
943,0,"[0, 3, 4, 7, 8, 14]",36,6,"1,1,1,3,3,6","4,7","0,3,8,14",14,0,"0,1,1,2,3,4",11,20,56,24,18,12
944,0,"[0, 3, 4, 7, 9, 10]",33,3,"1,1,2,3,3,5","4,7","0,3,9,10",,1,"1,1,1,2,2,4",11,22,50,17,11,10
945,0,"[0, 3, 4, 7, 9, 11]",34,4,"1,2,2,3,3,4","4,7","0,3,9,11",11,0,"0,1,1,2,2,4",10,19,56,18,12,10
946,0,"[0, 3, 4, 7, 9, 12]",35,5,"1,2,3,3,3,3","4,7","0,3,9,12",,1,"1,1,1,2,2,4",11,19,56,16,10,9
947,0,"[0, 3, 4, 7, 9, 13]",36,6,"1,2,2,3,3,4","4,7","0,3,9,13",,1,"1,1,1,2,2,4",11,17,60,21,15,11
948,0,"[0, 3, 4, 7, 9, 14]",37,7,"1,1,2,3,3,5","4,7","0,3,9,14",14,0,"0,1,1,2,2,4",10,18,58,18,12,10
949,0,"[0, 3, 4, 7, 10, 11]",35,5,"1,1,3,3,3,4","4,7","0,3,10,11",11,0,"0,1,1,1,2,4",9,22,52,17,11,13
950,0,"[0, 3, 4, 7, 10, 12]",36,6,"1,2,3,3,3,3","4,7","0,3,10,12",,1,"1,1,1,1,2,4",10,20,56,15,9,12
951,0,"[0, 3, 4, 7, 10, 13]",37,7,"1,2,3,3,3,3","4,7","0,3,10,13",,1,"1,1,1,1,2,4",10,19,58,20,14,14
952,0,"[0, 3, 4, 7, 10, 14]",38,8,"1,1,3,3,3,4","4,7","0,3,10,14",14,0,"0,1,1,1,2,4",9,21,54,17,11,13
953,0,"[0, 3, 4, 7, 11, 12]",37,7,"1,1,3,3,3,4","4,7","0,3,11,12",11,0,"0,1,1,1,2,4",9,21,54,16,10,12
954,0,"[0, 3, 4, 7, 11, 13]",38,8,"1,2,2,3,3,4","4,7","0,3,11,13",11,0,"0,1,1,1,2,4",9,20,56,21,15,14
955,0,"[0, 3, 4, 7, 11, 14]",39,9,"1,1,3,3,3,4","4,7","0,3,11,14","11,14",0,"0,0,1,1,2,4",8,22,52,18,12,13
956,0,"[0, 3, 4, 7, 12, 13]",39,9,"1,1,2,3,3,5","4,7","0,3,12,13",,1,"1,1,1,1,2,4",10,20,56,19,13,13
957,0,"[0, 3, 4, 7, 12, 14]",40,10,"1,1,2,3,3,5","4,7","0,3,12,14",14,0,"0,1,1,1,2,4",9,20,56,16,10,12
958,0,"[0, 3, 4, 7, 13, 14]",41,11,"1,1,1,3,3,6","4,7","0,3,13,14",14,0,"0,1,1,1,2,4",9,21,54,21,15,14
959,0,"[0, 3, 4, 8, 9, 10]",34,4,"1,1,1,3,4,5",4,"0,3,8,9,10",,1,"1,1,1,2,2,3",10,19,56,21,19,8
960,0,"[0, 3, 4, 8, 9, 11]",35,5,"1,1,2,3,4,4",4,"0,3,8,9,11",11,0,"0,1,1,2,2,3",9,18,58,22,20,7
961,0,"[0, 3, 4, 8, 9, 12]",36,6,"1,1,3,3,3,4",4,"0,3,8,9,12",,1,"1,1,1,2,2,3",10,20,54,20,18,8
962,0,"[0, 3, 4, 8, 9, 13]",37,7,"1,1,2,3,4,4",4,"0,3,8,9,13",,1,"1,1,1,2,2,3",10,12,70,25,23,7
963,0,"[0, 3, 4, 8, 9, 14]",38,8,"1,1,1,3,4,5",4,"0,3,8,9,14",14,0,"0,1,1,2,2,3",9,16,62,22,20,7
964,0,"[0, 3, 4, 8, 10, 11]",36,6,"1,1,2,3,4,4",4,"0,3,8,10,11",11,0,"0,1,1,1,2,3",8,20,56,21,19,9
965,0,"[0, 3, 4, 8, 10, 12]",37,7,"1,2,2,3,3,4",4,"0,3,8,10,12",,1,"1,1,1,1,2,3",9,20,56,19,17,10
966,0,"[0, 3, 4, 8, 10, 13]",38,8,"1,2,2,3,3,4",4,"0,3,8,10,13",,1,"1,1,1,1,2,3",9,13,70,24,22,9
967,0,"[0, 3, 4, 8, 10, 14]",39,9,"1,1,2,3,4,4",4,"0,3,8,10,14",14,0,"0,1,1,1,2,3",8,18,60,21,19,9
968,0,"[0, 3, 4, 8, 11, 12]",38,8,"1,1,3,3,3,4",4,"0,3,8,11,12",11,0,"0,1,1,1,2,3",8,23,50,20,18,9
969,0,"[0, 3, 4, 8, 11, 13]",39,9,"1,2,2,3,3,4",4,"0,3,8,11,13",11,0,"0,1,1,1,2,3",8,16,64,25,23,8
970,0,"[0, 3, 4, 8, 11, 14]",40,10,"1,1,3,3,3,4",4,"0,3,8,11,14","11,14",0,"0,0,1,1,2,3",7,21,54,22,20,8
971,0,"[0, 3, 4, 8, 12, 13]",40,10,"1,1,2,3,4,4",4,"0,3,8,12,13",,1,"1,1,1,1,2,3",9,18,60,23,21,9
972,0,"[0, 3, 4, 8, 12, 14]",41,11,"1,1,2,3,4,4",4,"0,3,8,12,14",14,0,"0,1,1,1,2,3",8,21,54,20,18,9
973,0,"[0, 3, 4, 8, 13, 14]",42,12,"1,1,1,3,4,5",4,"0,3,8,13,14",14,0,"0,1,1,1,2,3",8,16,64,25,23,8
974,0,"[0, 3, 4, 9, 10, 11]",37,7,"1,1,1,3,4,5",4,"0,3,9,10,11",11,0,"0,1,1,1,2,2",7,21,52,15,13,7
975,0,"[0, 3, 4, 9, 10, 12]",38,8,"1,1,2,3,3,5",4,"0,3,9,10,12",,1,"1,1,1,1,2,2",8,23,48,13,11,8
976,0,"[0, 3, 4, 9, 10, 13]",39,9,"1,1,2,3,3,5",4,"0,3,9,10,13",,1,"1,1,1,1,2,2",8,18,58,18,16,7
977,0,"[0, 3, 4, 9, 10, 14]",40,10,"1,1,1,3,4,5",4,"0,3,9,10,14",14,0,"0,1,1,1,2,2",7,20,54,15,13,7
978,0,"[0, 3, 4, 9, 11, 12]",39,9,"1,1,2,3,3,5",4,"0,3,9,11,12",11,0,"0,1,1,1,2,2",7,19,56,14,12,7
979,0,"[0, 3, 4, 9, 11, 13]",40,10,"1,2,2,2,3,5",4,"0,3,9,11,13",11,0,"0,1,1,1,2,2",7,14,66,19,17,6
980,0,"[0, 3, 4, 9, 11, 14]",41,11,"1,1,2,3,3,5",4,"0,3,9,11,14","11,14",0,"0,0,1,1,2,2",6,16,62,16,14,6
981,0,"[0, 3, 4, 9, 12, 13]",41,11,"1,1,2,3,3,5",4,"0,3,9,12,13",,1,"1,1,1,1,2,2",8,18,58,17,15,7
982,0,"[0, 3, 4, 9, 12, 14]",42,12,"1,1,2,3,3,5",4,"0,3,9,12,14",14,0,"0,1,1,1,2,2",7,18,58,14,12,7
983,0,"[0, 3, 4, 9, 13, 14]",43,13,"1,1,1,3,4,5",4,"0,3,9,13,14",14,0,"0,1,1,1,2,2",7,15,64,19,17,6
984,0,"[0, 3, 4, 10, 11, 12]",40,10,"1,1,1,3,3,6",4,"0,3,10,11,12",11,0,"0,1,1,1,1,2",6,19,58,13,11,9
985,0,"[0, 3, 4, 10, 11, 13]",41,11,"1,1,2,2,3,6",4,"0,3,10,11,13",11,0,"0,1,1,1,1,2",6,15,66,18,16,8
986,0,"[0, 3, 4, 10, 11, 14]",42,12,"1,1,1,3,3,6",4,"0,3,10,11,14","11,14",0,"0,0,1,1,1,2",5,18,60,15,13,8
987,0,"[0, 3, 4, 10, 12, 13]",42,12,"1,1,2,2,3,6",4,"0,3,10,12,13",,1,"1,1,1,1,1,2",7,17,62,16,14,9
988,0,"[0, 3, 4, 10, 12, 14]",43,13,"1,1,2,2,3,6",4,"0,3,10,12,14",14,0,"0,1,1,1,1,2",6,18,60,13,11,9
989,0,"[0, 3, 4, 10, 13, 14]",44,14,"1,1,1,3,3,6",4,"0,3,10,13,14",14,0,"0,1,1,1,1,2",6,16,64,18,16,8
990,0,"[0, 3, 4, 11, 12, 13]",43,13,"1,1,1,2,3,7",4,"0,3,11,12,13",11,0,"0,1,1,1,1,2",6,17,62,17,15,8
991,0,"[0, 3, 4, 11, 12, 14]",44,14,"1,1,1,2,3,7",4,"0,3,11,12,14","11,14",0,"0,0,1,1,1,2",5,18,60,14,12,8
992,0,"[0, 3, 4, 11, 13, 14]",45,0,"1,1,1,2,3,7",4,"0,3,11,13,14","11,14",0,"0,0,1,1,1,2",5,16,64,19,17,7
993,0,"[0, 3, 4, 12, 13, 14]",46,1,"1,1,1,1,3,8",4,"0,3,12,13,14",14,0,"0,1,1,1,1,2",6,18,60,17,15,8
994,0,"[0, 3, 5, 6, 7, 8]",29,14,"1,1,1,2,3,7","5,7","0,3,6,8",,1,"1,1,3,3,4,4",16,10,70,28,18,5
995,0,"[0, 3, 5, 6, 7, 9]",30,0,"1,1,2,2,3,6","5,7","0,3,6,9",,1,"1,1,2,3,4,4",15,13,62,22,12,4
996,0,"[0, 3, 5, 6, 7, 10]",31,1,"1,1,2,3,3,5","5,7","0,3,6,10",,1,"1,1,1,3,4,4",14,15,60,21,11,5
997,0,"[0, 3, 5, 6, 7, 11]",32,2,"1,1,2,3,4,4","5,7","0,3,6,11",11,0,"0,1,1,3,4,4",13,17,56,22,12,9
998,0,"[0, 3, 5, 6, 7, 12]",33,3,"1,1,2,3,3,5","5,7","0,3,6,12",,1,"1,1,1,3,4,4",14,13,64,20,10,4
999,0,"[0, 3, 5, 6, 7, 13]",34,4,"1,1,2,2,3,6","5,7","0,3,6,13",,1,"1,1,1,3,4,4",14,13,64,25,15,7
1000,0,"[0, 3, 5, 6, 7, 14]",35,5,"1,1,1,2,3,7","5,7","0,3,6,14",14,0,"0,1,1,3,4,4",13,16,58,22,12,9
1001,0,"[0, 3, 5, 6, 8, 9]",31,1,"1,1,2,2,3,6",5,"0,3,6,8,9",,1,"1,1,2,3,3,4",14,11,66,26,20,2
1002,0,"[0, 3, 5, 6, 8, 10]",32,2,"1,2,2,2,3,5",5,"0,3,6,8,10",,1,"1,1,1,3,3,4",13,12,66,25,19,2
1003,0,"[0, 3, 5, 6, 8, 11]",33,3,"1,2,2,3,3,4",5,"0,3,6,8,11",11,0,"0,1,1,3,3,4",12,16,58,26,20,5
1004,0,"[0, 3, 5, 6, 8, 12]",34,4,"1,2,2,3,3,4",5,"0,3,6,8,12",,1,"1,1,1,3,3,4",13,14,62,24,18,2
1005,0,"[0, 3, 5, 6, 8, 13]",35,5,"1,2,2,2,3,5",5,"0,3,6,8,13",,1,"1,1,1,3,3,4",13,8,74,29,23,2
1006,0,"[0, 3, 5, 6, 8, 14]",36,6,"1,1,2,2,3,6",5,"0,3,6,8,14",14,0,"0,1,1,3,3,4",12,14,62,26,20,5
1007,0,"[0, 3, 5, 6, 9, 10]",33,3,"1,1,2,3,3,5",5,"0,3,6,9,10",,1,"1,1,1,2,3,4",12,19,50,19,13,1
1008,0,"[0, 3, 5, 6, 9, 11]",34,4,"1,2,2,3,3,4",5,"0,3,6,9,11",11,0,"0,1,1,2,3,4",11,16,56,20,14,4
1009,0,"[0, 3, 5, 6, 9, 12]",35,5,"1,2,3,3,3,3",5,"0,3,6,9,12",,1,"1,1,1,2,3,4",12,16,56,18,12,1
1010,0,"[0, 3, 5, 6, 9, 13]",36,6,"1,2,2,3,3,4",5,"0,3,6,9,13",,1,"1,1,1,2,3,4",12,12,64,23,17,1
1011,0,"[0, 3, 5, 6, 9, 14]",37,7,"1,1,2,3,3,5",5,"0,3,6,9,14",14,0,"0,1,1,2,3,4",11,15,58,20,14,4
1012,0,"[0, 3, 5, 6, 10, 11]",35,5,"1,1,2,3,4,4",5,"0,3,6,10,11",11,0,"0,1,1,1,3,4",10,17,56,19,13,4
1013,0,"[0, 3, 5, 6, 10, 12]",36,6,"1,2,2,3,3,4",5,"0,3,6,10,12",,1,"1,1,1,1,3,4",11,15,60,17,11,1
1014,0,"[0, 3, 5, 6, 10, 13]",37,7,"1,2,2,3,3,4",5,"0,3,6,10,13",,1,"1,1,1,1,3,4",11,12,66,22,16,1
1015,0,"[0, 3, 5, 6, 10, 14]",38,8,"1,1,2,3,4,4",5,"0,3,6,10,14",14,0,"0,1,1,1,3,4",10,16,58,19,13,4
1016,0,"[0, 3, 5, 6, 11, 12]",37,7,"1,1,2,3,3,5",5,"0,3,6,11,12",11,0,"0,1,1,1,3,4",10,16,58,18,12,4
1017,0,"[0, 3, 5, 6, 11, 13]",38,8,"1,2,2,2,3,5",5,"0,3,6,11,13",11,0,"0,1,1,1,3,4",10,13,64,23,17,4
1018,0,"[0, 3, 5, 6, 11, 14]",39,9,"1,1,2,3,3,5",5,"0,3,6,11,14","11,14",0,"0,0,1,1,3,4",9,17,56,20,14,7
1019,0,"[0, 3, 5, 6, 12, 13]",39,9,"1,1,2,2,3,6",5,"0,3,6,12,13",,1,"1,1,1,1,3,4",11,13,64,21,15,1
1020,0,"[0, 3, 5, 6, 12, 14]",40,10,"1,1,2,2,3,6",5,"0,3,6,12,14",14,0,"0,1,1,1,3,4",10,15,60,18,12,4
1021,0,"[0, 3, 5, 6, 13, 14]",41,11,"1,1,1,2,3,7",5,"0,3,6,13,14",14,0,"0,1,1,1,3,4",10,14,62,23,17,4
1022,0,"[0, 3, 5, 7, 8, 9]",32,2,"1,1,2,2,3,6","5,7","0,3,8,9",,1,"1,1,2,3,3,4",14,10,70,28,18,5
1023,0,"[0, 3, 5, 7, 8, 10]",33,3,"1,2,2,2,3,5","5,7","0,3,8,10",,1,"1,1,1,3,3,4",13,11,70,27,17,6
1024,0,"[0, 3, 5, 7, 8, 11]",34,4,"1,2,2,3,3,4","5,7","0,3,8,11",11,0,"0,1,1,3,3,4",12,19,54,28,18,10
1025,0,"[0, 3, 5, 7, 8, 12]",35,5,"1,2,2,3,3,4","5,7","0,3,8,12",,1,"1,1,1,3,3,4",13,13,66,26,16,5
1026,0,"[0, 3, 5, 7, 8, 13]",36,6,"1,2,2,2,3,5","5,7","0,3,8,13",,1,"1,1,1,3,3,4",13,10,72,31,21,8
1027,0,"[0, 3, 5, 7, 8, 14]",37,7,"1,1,2,2,3,6","5,7","0,3,8,14",14,0,"0,1,1,3,3,4",12,17,58,28,18,10
1028,0,"[0, 3, 5, 7, 9, 10]",34,4,"1,2,2,2,3,5","5,7","0,3,9,10",,1,"1,1,1,2,3,4",12,16,58,21,11,5
1029,0,"[0, 3, 5, 7, 9, 11]",35,5,"2,2,2,2,3,4","5,7","0,3,9,11",11,0,"0,1,1,2,3,4",11,17,56,22,12,9
1030,0,"[0, 3, 5, 7, 9, 12]",36,6,"2,2,2,3,3,3","5,7","0,3,9,12",,1,"1,1,1,2,3,4",12,13,64,20,10,4
1031,0,"[0, 3, 5, 7, 9, 13]",37,7,"2,2,2,2,3,4","5,7","0,3,9,13",,1,"1,1,1,2,3,4",12,12,66,25,15,7
1032,0,"[0, 3, 5, 7, 9, 14]",38,8,"1,2,2,2,3,5","5,7","0,3,9,14",14,0,"0,1,1,2,3,4",11,16,58,22,12,9
1033,0,"[0, 3, 5, 7, 10, 11]",36,6,"1,2,2,3,3,4","5,7","0,3,10,11",11,0,"0,1,1,1,3,4",10,18,56,21,11,10
1034,0,"[0, 3, 5, 7, 10, 12]",37,7,"2,2,2,3,3,3","5,7","0,3,10,12",,1,"1,1,1,1,3,4",11,12,68,19,9,5
1035,0,"[0, 3, 5, 7, 10, 13]",38,8,"2,2,2,3,3,3","5,7","0,3,10,13",,1,"1,1,1,1,3,4",11,12,68,24,14,8
1036,0,"[0, 3, 5, 7, 10, 14]",39,9,"1,2,2,3,3,4","5,7","0,3,10,14",14,0,"0,1,1,1,3,4",10,17,58,21,11,10
1037,0,"[0, 3, 5, 7, 11, 12]",38,8,"1,2,2,3,3,4","5,7","0,3,11,12",11,0,"0,1,1,1,3,4",10,17,58,20,10,9
1038,0,"[0, 3, 5, 7, 11, 13]",39,9,"2,2,2,2,3,4","5,7","0,3,11,13",11,0,"0,1,1,1,3,4",10,17,58,25,15,12
1039,0,"[0, 3, 5, 7, 11, 14]",40,10,"1,2,2,3,3,4","5,7","0,3,11,14","11,14",0,"0,0,1,1,3,4",9,22,48,22,12,14
1040,0,"[0, 3, 5, 7, 12, 13]",40,10,"1,2,2,2,3,5","5,7","0,3,12,13",,1,"1,1,1,1,3,4",11,13,66,23,13,7
1041,0,"[0, 3, 5, 7, 12, 14]",41,11,"1,2,2,2,3,5","5,7","0,3,12,14",14,0,"0,1,1,1,3,4",10,16,60,20,10,9
1042,0,"[0, 3, 5, 7, 13, 14]",42,12,"1,1,2,2,3,6","5,7","0,3,13,14",14,0,"0,1,1,1,3,4",10,18,56,25,15,12
1043,0,"[0, 3, 5, 8, 9, 10]",35,5,"1,1,2,3,3,5",5,"0,3,8,9,10",,1,"1,1,1,2,3,3",11,13,64,25,19,2
1044,0,"[0, 3, 5, 8, 9, 11]",36,6,"1,2,2,3,3,4",5,"0,3,8,9,11",11,0,"0,1,1,2,3,3",10,16,58,26,20,5
1045,0,"[0, 3, 5, 8, 9, 12]",37,7,"1,2,3,3,3,3",5,"0,3,8,9,12",,1,"1,1,1,2,3,3",11,14,62,24,18,2
1046,0,"[0, 3, 5, 8, 9, 13]",38,8,"1,2,2,3,3,4",5,"0,3,8,9,13",,1,"1,1,1,2,3,3",11,7,76,29,23,2
1047,0,"[0, 3, 5, 8, 9, 14]",39,9,"1,1,2,3,3,5",5,"0,3,8,9,14",14,0,"0,1,1,2,3,3",10,14,62,26,20,5
1048,0,"[0, 3, 5, 8, 10, 11]",37,7,"1,2,2,3,3,4",5,"0,3,8,10,11",11,0,"0,1,1,1,3,3",9,16,60,25,19,5
1049,0,"[0, 3, 5, 8, 10, 12]",38,8,"2,2,2,3,3,3",5,"0,3,8,10,12",,1,"1,1,1,1,3,3",10,12,68,23,17,2
1050,0,"[0, 3, 5, 8, 10, 13]",39,9,"2,2,2,3,3,3",5,"0,3,8,10,13",,1,"1,1,1,1,3,3",10,6,80,28,22,2
1051,0,"[0, 3, 5, 8, 10, 14]",40,10,"1,2,2,3,3,4",5,"0,3,8,10,14",14,0,"0,1,1,1,3,3",9,14,64,25,19,5
1052,0,"[0, 3, 5, 8, 11, 12]",39,9,"1,2,3,3,3,3",5,"0,3,8,11,12",11,0,"0,1,1,1,3,3",9,19,54,24,18,5
1053,0,"[0, 3, 5, 8, 11, 13]",40,10,"2,2,2,3,3,3",5,"0,3,8,11,13",11,0,"0,1,1,1,3,3",9,13,66,29,23,5
1054,0,"[0, 3, 5, 8, 11, 14]",41,11,"1,2,3,3,3,3",5,"0,3,8,11,14","11,14",0,"0,0,1,1,3,3",8,21,50,26,20,8
1055,0,"[0, 3, 5, 8, 12, 13]",41,11,"1,2,2,3,3,4",5,"0,3,8,12,13",,1,"1,1,1,1,3,3",10,11,70,27,21,2
1056,0,"[0, 3, 5, 8, 12, 14]",42,12,"1,2,2,3,3,4",5,"0,3,8,12,14",14,0,"0,1,1,1,3,3",9,17,58,24,18,5
1057,0,"[0, 3, 5, 8, 13, 14]",43,13,"1,1,2,3,3,5",5,"0,3,8,13,14",14,0,"0,1,1,1,3,3",9,13,66,29,23,5
1058,0,"[0, 3, 5, 9, 10, 11]",38,8,"1,1,2,3,4,4",5,"0,3,9,10,11",11,0,"0,1,1,1,2,3",8,18,54,19,13,4
1059,0,"[0, 3, 5, 9, 10, 12]",39,9,"1,2,2,3,3,4",5,"0,3,9,10,12",,1,"1,1,1,1,2,3",9,16,58,17,11,1
1060,0,"[0, 3, 5, 9, 10, 13]",40,10,"1,2,2,3,3,4",5,"0,3,9,10,13",,1,"1,1,1,1,2,3",9,12,66,22,16,1
1061,0,"[0, 3, 5, 9, 10, 14]",41,11,"1,1,2,3,4,4",5,"0,3,9,10,14",14,0,"0,1,1,1,2,3",8,17,56,19,13,4
1062,0,"[0, 3, 5, 9, 11, 12]",40,10,"1,2,2,3,3,4",5,"0,3,9,11,12",11,0,"0,1,1,1,2,3",8,16,58,18,12,4
1063,0,"[0, 3, 5, 9, 11, 13]",41,11,"2,2,2,2,3,4",5,"0,3,9,11,13",11,0,"0,1,1,1,2,3",8,12,66,23,17,4
1064,0,"[0, 3, 5, 9, 11, 14]",42,12,"1,2,2,3,3,4",5,"0,3,9,11,14","11,14",0,"0,0,1,1,2,3",7,17,56,20,14,7
1065,0,"[0, 3, 5, 9, 12, 13]",42,12,"1,2,2,3,3,4",5,"0,3,9,12,13",,1,"1,1,1,1,2,3",9,12,66,21,15,1
1066,0,"[0, 3, 5, 9, 12, 14]",43,13,"1,2,2,3,3,4",5,"0,3,9,12,14",14,0,"0,1,1,1,2,3",8,15,60,18,12,4
1067,0,"[0, 3, 5, 9, 13, 14]",44,14,"1,1,2,3,4,4",5,"0,3,9,13,14",14,0,"0,1,1,1,2,3",8,13,64,23,17,4
1068,0,"[0, 3, 5, 10, 11, 12]",41,11,"1,1,2,3,3,5",5,"0,3,10,11,12",11,0,"0,1,1,1,1,3",7,14,64,17,11,4
1069,0,"[0, 3, 5, 10, 11, 13]",42,12,"1,2,2,2,3,5",5,"0,3,10,11,13",11,0,"0,1,1,1,1,3",7,11,70,22,16,4
1070,0,"[0, 3, 5, 10, 11, 14]",43,13,"1,1,2,3,3,5",5,"0,3,10,11,14","11,14",0,"0,0,1,1,1,3",6,17,58,19,13,7
1071,0,"[0, 3, 5, 10, 12, 13]",43,13,"1,2,2,2,3,5",5,"0,3,10,12,13",,1,"1,1,1,1,1,3",8,9,74,20,14,1
1072,0,"[0, 3, 5, 10, 12, 14]",44,14,"1,2,2,2,3,5",5,"0,3,10,12,14",14,0,"0,1,1,1,1,3",7,13,66,17,11,4
1073,0,"[0, 3, 5, 10, 13, 14]",45,0,"1,1,2,3,3,5",5,"0,3,10,13,14",14,0,"0,1,1,1,1,3",7,12,68,22,16,4
1074,0,"[0, 3, 5, 11, 12, 13]",44,14,"1,1,2,2,3,6",5,"0,3,11,12,13",11,0,"0,1,1,1,1,3",7,13,66,21,15,4
1075,0,"[0, 3, 5, 11, 12, 14]",45,0,"1,1,2,2,3,6",5,"0,3,11,12,14","11,14",0,"0,0,1,1,1,3",6,17,58,18,12,7
1076,0,"[0, 3, 5, 11, 13, 14]",46,1,"1,1,2,2,3,6",5,"0,3,11,13,14","11,14",0,"0,0,1,1,1,3",6,16,60,23,17,7
1077,0,"[0, 3, 5, 12, 13, 14]",47,2,"1,1,1,2,3,7",5,"0,3,12,13,14",14,0,"0,1,1,1,1,3",7,14,64,21,15,4
1078,0,"[0, 3, 6, 7, 8, 9]",33,3,"1,1,1,3,3,6",7,"0,3,6,8,9",,1,"1,1,2,3,4,4",15,12,68,24,20,3
1079,0,"[0, 3, 6, 7, 8, 10]",34,4,"1,1,2,3,3,5",7,"0,3,6,8,10",,1,"1,1,1,3,4,4",14,14,66,23,19,4
1080,0,"[0, 3, 6, 7, 8, 11]",35,5,"1,1,3,3,3,4",7,"0,3,6,8,11",11,0,"0,1,1,3,4,4",13,16,62,24,20,5
1081,0,"[0, 3, 6, 7, 8, 12]",36,6,"1,1,3,3,3,4",7,"0,3,6,8,12",,1,"1,1,1,3,4,4",14,15,64,22,18,3
1082,0,"[0, 3, 6, 7, 8, 13]",37,7,"1,1,2,3,3,5",7,"0,3,6,8,13",,1,"1,1,1,3,4,4",14,12,70,27,23,6
1083,0,"[0, 3, 6, 7, 8, 14]",38,8,"1,1,1,3,3,6",7,"0,3,6,8,14",14,0,"0,1,1,3,4,4",13,14,66,24,20,5
1084,0,"[0, 3, 6, 7, 9, 10]",35,5,"1,1,2,3,3,5",7,"0,3,6,9,10",,1,"1,1,1,2,4,4",13,22,48,17,13,4
1085,0,"[0, 3, 6, 7, 9, 11]",36,6,"1,2,2,3,3,4",7,"0,3,6,9,11",11,0,"0,1,1,2,4,4",12,17,58,18,14,5
1086,0,"[0, 3, 6, 7, 9, 12]",37,7,"1,2,3,3,3,3",7,"0,3,6,9,12",,1,"1,1,1,2,4,4",13,18,56,16,12,3
1087,0,"[0, 3, 6, 7, 9, 13]",38,8,"1,2,2,3,3,4",7,"0,3,6,9,13",,1,"1,1,1,2,4,4",13,17,58,21,17,6
1088,0,"[0, 3, 6, 7, 9, 14]",39,9,"1,1,2,3,3,5",7,"0,3,6,9,14",14,0,"0,1,1,2,4,4",12,16,60,18,14,5
1089,0,"[0, 3, 6, 7, 10, 11]",37,7,"1,1,3,3,3,4",7,"0,3,6,10,11",11,0,"0,1,1,1,4,4",11,19,56,17,13,6
1090,0,"[0, 3, 6, 7, 10, 12]",38,8,"1,2,3,3,3,3",7,"0,3,6,10,12",,1,"1,1,1,1,4,4",12,18,58,15,11,4
1091,0,"[0, 3, 6, 7, 10, 13]",39,9,"1,2,3,3,3,3",7,"0,3,6,10,13",,1,"1,1,1,1,4,4",12,18,58,20,16,7
