state,relay_block,selected_free_block,generated_anchor_residue_set,observed_anchor_residue_set,match
O0,"[4, 5, 7]","[8, 9, 12]","[4, 5, 7, 8, 9, 12]","[4, 5, 7, 8, 9, 12]",1
O1,"[2, 4, 9]","[0, 13, 14]","[0, 2, 4, 9, 13, 14]","[0, 2, 4, 9, 13, 14]",1
B0,"[4, 8]","[0, 2, 3]","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",1
B1,"[8, 10, 13]","[2, 3, 7]","[2, 3, 7, 8, 10, 13]","[2, 3, 7, 8, 10, 13]",1
