state,relay_block,selected_free_block,generated_anchor_residue_set,anchor_node_path,anchor_node_path_residue_set,node_path_residues_match_generated_anchor,sheet_mask_by_node_ge_15
O0,"[4, 5, 7]","[8, 9, 12]","[4, 5, 7, 8, 9, 12]","[[23, 24], [7, 12], [4, 5], [23, 24]]","[4, 5, 7, 8, 9, 12]",1,"[1, 1, 0, 0, 0, 0, 1, 1]"
O1,"[2, 4, 9]","[0, 13, 14]","[0, 2, 4, 9, 13, 14]","[[28, 29], [0, 2], [4, 9], [28, 29]]","[0, 2, 4, 9, 13, 14]",1,"[1, 1, 0, 0, 0, 0, 1, 1]"
B0,"[4, 8]","[0, 2, 3]","[0, 2, 3, 4, 8]","[[0, 4], [2, 17], [8, 18], [0, 4]]","[0, 2, 3, 4, 8]",1,"[0, 0, 0, 1, 0, 1, 0, 0]"
B1,"[8, 10, 13]","[2, 3, 7]","[2, 3, 7, 8, 10, 13]","[[7, 10], [8, 18], [13, 17], [7, 10]]","[2, 3, 7, 8, 10, 13]",1,"[0, 0, 0, 1, 0, 1, 0, 0]"
