state,shell_bit,rank_bit,step,from_c,to_c,mediators,anchor_residues,anchor_mediator_hits,anchor_mediated,c_values,c_value_mediator_hits,c_value_mediated,overlap,overlap_mediator_hits,overlap_mediated
B0,1,0,0,2,5,8 11 14,0 2 3 4 8,8,1,0 2 5,none,0,0 2,none,0
B0,1,0,1,5,0,1 4 8 11 14,0 2 3 4 8,4 8,1,0 2 5,none,0,0 2,none,0
B1,1,1,1,5,2,8 11 14,2 3 7 8 10 13,8,1,2 4 5,none,0,2,none,0
B1,1,1,2,2,4,0 8 10 11 13 14,2 3 7 8 10 13,8 10 13,1,2 4 5,none,0,2,none,0
O0,0,0,2,14,11,0 1 2 3 4 5 7 8,4 5 7 8 9 12,4 5 7 8,1,2 11 14,2,1,none,none,0
O1,0,1,2,10,13,1 2 4 6 7 9,0 2 4 9 13 14,2 4 9,1,1 10 13,1,1,13,none,0
