rank,key_name,group_count,purity_total,score,exact_aggregation,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,groups
11,C_delta_mod15_mod_4|row_count,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 2)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 2)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
12,C_delta_mod15_mod_4|row_count_floor_div_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 1)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 1)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 1)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
13,C_delta_mod15_mod_4|row_count_floor_div_3,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
14,C_delta_mod15_mod_4|row_count_floor_div_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
15,C_delta_mod15_mod_4|row_count_floor_div_5,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
16,C_delta_mod15_mod_4|row_count_floor_div_6,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
17,C_delta_mod15_mod_4|row_count_mod_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
18,C_delta_mod15_mod_4|row_count_mod_3,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 2)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 2)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
19,C_delta_mod15_mod_4|row_count_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 2)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 2)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
20,C_delta_mod15_mod_4|row_count_mod_5,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 2)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 2)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
