state,candidate_index,free_block,sum_free,min_free,is_selected,matches_observed
O0,0,"[0, 1, 3]",4,0,0,0
O0,1,"[0, 1, 6]",7,0,0,0
O0,2,"[0, 1, 8]",9,0,0,0
O0,3,"[0, 1, 9]",10,0,0,0
O0,4,"[0, 1, 10]",11,0,0,0
O0,5,"[0, 1, 12]",13,0,0,0
O0,6,"[0, 1, 13]",14,0,0,0
O0,7,"[0, 3, 6]",9,0,0,0
O0,8,"[0, 3, 8]",11,0,0,0
O0,9,"[0, 3, 9]",12,0,0,0
O0,10,"[0, 3, 10]",13,0,0,0
O0,11,"[0, 3, 12]",15,0,0,0
O0,12,"[0, 3, 13]",16,0,0,0
O0,13,"[0, 6, 8]",14,0,0,0
O0,14,"[0, 6, 9]",15,0,0,0
O0,15,"[0, 6, 10]",16,0,0,0
O0,16,"[0, 6, 12]",18,0,0,0
O0,17,"[0, 6, 13]",19,0,0,0
O0,18,"[0, 8, 9]",17,0,0,0
O0,19,"[0, 8, 10]",18,0,0,0
O0,20,"[0, 8, 12]",20,0,0,0
O0,21,"[0, 8, 13]",21,0,0,0
O0,22,"[0, 9, 10]",19,0,0,0
O0,23,"[0, 9, 12]",21,0,0,0
O0,24,"[0, 9, 13]",22,0,0,0
O0,25,"[0, 10, 12]",22,0,0,0
O0,26,"[0, 10, 13]",23,0,0,0
O0,27,"[0, 12, 13]",25,0,0,0
O0,28,"[1, 3, 6]",10,1,0,0
O0,29,"[1, 3, 8]",12,1,0,0
O0,30,"[1, 3, 9]",13,1,0,0
O0,31,"[1, 3, 10]",14,1,0,0
O0,32,"[1, 3, 12]",16,1,0,0
O0,33,"[1, 3, 13]",17,1,0,0
O0,34,"[1, 6, 8]",15,1,0,0
O0,35,"[1, 6, 9]",16,1,0,0
O0,36,"[1, 6, 10]",17,1,0,0
O0,37,"[1, 6, 12]",19,1,0,0
O0,38,"[1, 6, 13]",20,1,0,0
O0,39,"[1, 8, 9]",18,1,0,0
O0,40,"[1, 8, 10]",19,1,0,0
O0,41,"[1, 8, 12]",21,1,0,0
O0,42,"[1, 8, 13]",22,1,0,0
O0,43,"[1, 9, 10]",20,1,0,0
O0,44,"[1, 9, 12]",22,1,0,0
O0,45,"[1, 9, 13]",23,1,0,0
O0,46,"[1, 10, 12]",23,1,0,0
O0,47,"[1, 10, 13]",24,1,0,0
O0,48,"[1, 12, 13]",26,1,0,0
O0,49,"[3, 6, 8]",17,3,0,0
O0,50,"[3, 6, 9]",18,3,0,0
O0,51,"[3, 6, 10]",19,3,0,0
O0,52,"[3, 6, 12]",21,3,0,0
O0,53,"[3, 6, 13]",22,3,0,0
O0,54,"[3, 8, 9]",20,3,0,0
O0,55,"[3, 8, 10]",21,3,0,0
O0,56,"[3, 8, 12]",23,3,0,0
O0,57,"[3, 8, 13]",24,3,0,0
O0,58,"[3, 9, 10]",22,3,0,0
