rank,relation_name,edge_count,component_count,purity_total,score,exact_partition,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,components
22,same_field:slot_delta_mod15,73,8,12,-48,False,False,"[2, 0, 0, 1, 0, 1, 2, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""3"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 3}, {""form_counts"": {""1"": 2, ""2"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 3}, {""form_counts"": {""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}, ""gap"": -1, ""majority_form"": 0, ""row_count"": 12}]"
23,undirected_endpoint_pair:from_C|to_C,16,11,22,-62,False,False,"[0, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 4}]"
24,undirected_endpoint_pair:from_fiber|to_fiber,16,11,22,-62,False,False,"[0, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 4}]"
25,same_field:derived.C_transition,12,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
26,same_pair:from_C|to_C,12,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
27,same_pair:from_fiber|to_fiber,12,12,24,-72,False,False,"[0, 3, 2, 0, 1, 0, 1, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": -54, ""majority_form"": 3, ""row_count"": 2}]"
28,same_field:derived.boundary_gap_row,9,16,17,-127,False,False,"[0, 2, 0, 0, 2, 1, 0, 1, 0, 0, 2, 3, 1, 1, 2, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""1"": 1}, ""gap"": -6, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 1, ""2"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""1"": 2, ""2"": 1}, ""gap"": 3, ""majority_form"": 1, ""row_count"": 3}]"
29,same_field:derived.slot_fiber_pair,6,18,18,-150,False,False,"[0, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 3, 1, 2, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 1, ""2"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 1, ""2"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}]"
30,reciprocal_pair:from_A|to_A,5,19,19,-161,False,False,"[0, 3, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 3, 1, 2, 0, 0, 2]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}]"
31,undirected_endpoint_pair:from_A|to_A,5,19,19,-161,False,False,"[0, 3, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 3, 1, 2, 0, 0, 2]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}]"
32,same_pair:from_A|to_A,4,20,20,-172,False,False,"[0, 3, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 3, 3, 1, 2, 0, 0, 2]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -57, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -55, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -1, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -2, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""0"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}]"
33,reciprocal_pair:from_B|to_B,5,20,20,-172,False,False,"[3, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 1}, ""gap"": -1, ""majority_form"": 0, ""row_count"": 3}]"
34,reciprocal_pair:from_slot|to_slot,5,20,20,-172,False,False,"[3, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 1}, ""gap"": -1, ""majority_form"": 0, ""row_count"": 3}]"
35,undirected_endpoint_pair:from_B|to_B,5,20,20,-172,False,False,"[3, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 1}, ""gap"": -1, ""majority_form"": 0, ""row_count"": 3}]"
36,undirected_endpoint_pair:from_slot|to_slot,5,20,20,-172,False,False,"[3, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 3, 3]","[{""form_counts"": {""0"": 1}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -51, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""0"": 1}, ""gap"": -12, ""majority_form"": 0, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -48, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""1"": 1}, ""gap"": -9, ""majority_form"": 1, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -3, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""2"": 1}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""3"": 1}, ""gap"": -57, ""majority_form"": 3, ""row_count"": 1}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""2"": 1, ""3"": 1}, ""gap"": 9, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""0"": 1, ""2"": 1, ""3"": 1}, ""gap"": -1, ""majority_form"": 0, ""row_count"": 3}]"
